epoch150, t_loss: 0.010200, v_loss: 0.027554, best_epoch 52: 0.021176
epoch151, t_loss: 0.010092, v_loss: 0.036995, best_epoch 52: 0.021176
epoch152, t_loss: 0.010068, v_loss: 0.022213, best_epoch 52: 0.021176
epoch153, t_loss: 0.010059, v_loss: 0.024711, best_epoch 52: 0.021176
epoch154, t_loss: 0.010096, v_loss: 0.029658, best_epoch 52: 0.021176
epoch155, t_loss: 0.010055, v_loss: 0.031670, best_epoch 52: 0.021176
epoch156, t_loss: 0.010070, v_loss: 0.024593, best_epoch 52: 0.021176
epoch157, t_loss: 0.009996, v_loss: 0.024748, best_epoch 52: 0.021176
epoch158, t_loss: 0.009997, v_loss: 0.024231, best_epoch 52: 0.021176
epoch159, t_loss: 0.009993, v_loss: 0.022738, best_epoch 52: 0.021176
epoch160, t_loss: 0.009947, v_loss: 0.022764, best_epoch 52: 0.021176
epoch161, t_loss: 0.010018, v_loss: 0.034655, best_epoch 52: 0.021176
epoch162, t_loss: 0.009943, v_loss: 0.028298, best_epoch 52: 0.021176
epoch163, t_loss: 0.009945, v_loss: 0.027076, best_epoch 52: 0.021176
epoch164, t_loss: 0.009937, v_loss: 0.035462, best_epoch 52: 0.021176
epoch165, t_loss: 0.009892, v_loss: 0.030495, best_epoch 52: 0.021176
epoch166, t_loss: 0.009889, v_loss: 0.029198, best_epoch 52: 0.021176
epoch167, t_loss: 0.009899, v_loss: 0.039338, best_epoch 52: 0.021176
epoch168, t_loss: 0.009875, v_loss: 0.024752, best_epoch 52: 0.021176
epoch169, t_loss: 0.009880, v_loss: 0.028013, best_epoch 52: 0.021176
epoch170, t_loss: 0.009883, v_loss: 0.023989, best_epoch 52: 0.021176
epoch171, t_loss: 0.009847, v_loss: 0.030527, best_epoch 52: 0.021176
epoch172, t_loss: 0.009875, v_loss: 0.025933, best_epoch 52: 0.021176
epoch173, t_loss: 0.009838, v_loss: 0.026913, best_epoch 52: 0.021176
epoch174, t_loss: 0.009749, v_loss: 0.025012, best_epoch 52: 0.021176
epoch175, t_loss: 0.009781, v_loss: 0.043407, best_epoch 52: 0.021176
epoch176, t_loss: 0.009774, v_loss: 0.025354, best_epoch 52: 0.021176
epoch177, t_loss: 0.009784, v_loss: 0.035471, best_epoch 52: 0.021176
epoch178, t_loss: 0.009754, v_loss: 0.025870, best_epoch 52: 0.021176
epoch179, t_loss: 0.009746, v_loss: 0.073456, best_epoch 52: 0.021176
epoch180, t_loss: 0.009732, v_loss: 0.029315, best_epoch 52: 0.021176
epoch181, t_loss: 0.009718, v_loss: 0.043959, best_epoch 52: 0.021176
epoch182, t_loss: 0.009739, v_loss: 0.024307, best_epoch 52: 0.021176
epoch183, t_loss: 0.009662, v_loss: 0.028363, best_epoch 52: 0.021176
epoch184, t_loss: 0.009671, v_loss: 0.036877, best_epoch 52: 0.021176
epoch185, t_loss: 0.009691, v_loss: 0.026345, best_epoch 52: 0.021176
epoch186, t_loss: 0.009709, v_loss: 0.029608, best_epoch 52: 0.021176
epoch187, t_loss: 0.009660, v_loss: 0.028550, best_epoch 52: 0.021176
epoch188, t_loss: 0.009639, v_loss: 0.045340, best_epoch 52: 0.021176
epoch189, t_loss: 0.009674, v_loss: 0.058514, best_epoch 52: 0.021176
epoch190, t_loss: 0.009651, v_loss: 0.023701, best_epoch 52: 0.021176
epoch191, t_loss: 0.009586, v_loss: 0.027062, best_epoch 52: 0.021176
epoch192, t_loss: 0.009599, v_loss: 0.065066, best_epoch 52: 0.021176
epoch193, t_loss: 0.009608, v_loss: 0.027484, best_epoch 52: 0.021176
epoch194, t_loss: 0.009621, v_loss: 0.051742, best_epoch 52: 0.021176
epoch195, t_loss: 0.009621, v_loss: 0.028575, best_epoch 52: 0.021176
epoch196, t_loss: 0.009534, v_loss: 0.024959, best_epoch 52: 0.021176
epoch197, t_loss: 0.009542, v_loss: 0.025154, best_epoch 52: 0.021176
epoch198, t_loss: 0.009588, v_loss: 0.045749, best_epoch 52: 0.021176
epoch199, t_loss: 0.009562, v_loss: 0.026860, best_epoch 52: 0.021176
